"source","term_id","term_name","p_value","term_size","query_size","intersection_size"
"GO:BP","GO:0038065","collagen-activated signaling pathway",0.000583679686397166,53,927,12
"GO:BP","GO:0009790","embryo development",0.000600256136415877,921,927,80
"GO:BP","GO:0006954","inflammatory response",0.000603689149333514,621,927,59
"GO:BP","GO:0060048","cardiac muscle contraction",0.000621289842628927,109,927,18
"GO:BP","GO:0030048","actin filament-based movement",0.000621289842628927,109,927,18
"GO:BP","GO:0006811","monoatomic ion transport",0.000628984048818354,908,927,79
"GO:BP","GO:0009308","amine metabolic process",0.000644985823209682,71,927,14
"GO:BP","GO:0030509","BMP signaling pathway",0.000645677478093461,130,927,20
"GO:BP","GO:0045671","negative regulation of osteoclast differentiation",0.000669060372673633,24,927,8
"GO:BP","GO:0002042","cell migration involved in sprouting angiogenesis",0.000688807619592037,54,927,12
"GO:BP","GO:0050807","regulation of synapse organization",0.000689435809699313,244,927,30
"GO:BP","GO:0060688","regulation of morphogenesis of a branching structure",0.000710628644823305,46,927,11
"GO:BP","GO:0007548","sex differentiation",0.000711159490604085,209,927,27
"GO:BP","GO:0006813","potassium ion transport",0.000743380504753673,153,927,22
"GO:BP","GO:0001763","morphogenesis of a branching structure",0.000743380504753673,164,927,23
"GO:BP","GO:0018108","peptidyl-tyrosine phosphorylation",0.000763956927032097,111,927,18
"GO:BP","GO:0060537","muscle tissue development",0.000763956927032097,345,927,38
"GO:BP","GO:0006950","response to stress",0.000782037912328087,3156,927,220
"GO:BP","GO:0048598","embryonic morphogenesis",0.000807957201770947,491,927,49
"GO:BP","GO:1905330","regulation of morphogenesis of an epithelium",0.000807957201770947,55,927,12
"GO:BP","GO:0045926","negative regulation of growth",0.000830796647826515,188,927,25
"GO:BP","GO:0051050","positive regulation of transport",0.000849479474683809,630,927,59
"GO:BP","GO:0016101","diterpenoid metabolic process",0.000849479474683809,64,927,13
"GO:BP","GO:0050878","regulation of body fluid levels",0.000869078935213259,272,927,32
"GO:BP","GO:0120254","olefinic compound metabolic process",0.00094163277157062,113,927,18
"GO:BP","GO:0018212","peptidyl-tyrosine modification",0.00094163277157062,113,927,18
"GO:BP","GO:0008285","negative regulation of cell population proliferation",0.00094163277157062,549,927,53
"GO:BP","GO:0002761","regulation of myeloid leukocyte differentiation",0.000950604532393587,93,927,16
"GO:BP","GO:0050803","regulation of synapse structure or activity",0.000950604532393587,249,927,30
"GO:BP","GO:0030282","bone mineralization",0.000953268034958679,103,927,17
"GO:BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation",0.000955878408994776,74,927,14
"GO:BP","GO:0021954","central nervous system neuron development",0.000955878408994776,74,927,14
"GO:BP","GO:0001667","ameboidal-type cell migration",0.00100664904950943,214,927,27
"GO:BP","GO:0001932","regulation of protein phosphorylation",0.00106686902886057,430,927,44
"GO:BP","GO:0014706","striated muscle tissue development",0.00108487469332723,326,927,36
"GO:BP","GO:0048732","gland development",0.00108487469332723,326,927,36
"GO:BP","GO:0006629","lipid metabolic process",0.00109800865619525,1090,927,90
"GO:BP","GO:0140352","export from cell",0.00116643017136961,695,927,63
"GO:BP","GO:0030510","regulation of BMP signaling pathway",0.00117106550271435,85,927,15
"GO:BP","GO:0046660","female sex differentiation",0.00118485312580264,105,927,17
"GO:BP","GO:0021545","cranial nerve development",0.00123325205627817,41,927,10
"GO:BP","GO:0048771","tissue remodeling",0.00123654363547115,148,927,21
"GO:BP","GO:0048486","parasympathetic nervous system development",0.00123654363547115,14,927,6
"GO:BP","GO:0032355","response to estradiol",0.00124834926205245,76,927,14
"GO:BP","GO:0010660","regulation of muscle cell apoptotic process",0.00129017571651185,58,927,12
"GO:BP","GO:0009914","hormone transport",0.00133176217442653,230,927,28
"GO:BP","GO:0055082","intracellular chemical homeostasis",0.0013768826667174,476,927,47
"GO:BP","GO:0048762","mesenchymal cell differentiation",0.00142736001740743,219,927,27
