"source","term_id","term_name","p_value","term_size","query_size","intersection_size"
"GO:BP","GO:0015718","monocarboxylic acid transport",0.00756586428733858,116,927,16
"GO:BP","GO:0008286","insulin receptor signaling pathway",0.00779541757905885,151,927,19
"GO:BP","GO:0006066","alcohol metabolic process",0.00795914056517132,290,927,30
"GO:BP","GO:0099173","postsynapse organization",0.00797092563357231,200,927,23
"GO:BP","GO:0045859","regulation of protein kinase activity",0.00800939660614091,277,927,29
"GO:BP","GO:0060349","bone morphogenesis",0.00801074632390422,84,927,13
"GO:BP","GO:0010812","negative regulation of cell-substrate adhesion",0.00801074632390422,54,927,10
"GO:BP","GO:0090288","negative regulation of cellular response to growth factor stimulus",0.00801074632390422,84,927,13
"GO:BP","GO:0022407","regulation of cell-cell adhesion",0.00804073330202897,344,927,34
"GO:BP","GO:0099560","synaptic membrane adhesion",0.00812332575011231,28,927,7
"GO:BP","GO:0010092","specification of animal organ identity",0.00812332575011231,28,927,7
"GO:BP","GO:0060840","artery development",0.00818524047697308,95,927,14
"GO:BP","GO:0033292","T-tubule organization",0.00818524047697308,4,927,3
"GO:BP","GO:0050982","detection of mechanical stimulus",0.00818524047697308,45,927,9
"GO:BP","GO:0048844","artery morphogenesis",0.00818524047697308,64,927,11
"GO:BP","GO:0048660","regulation of smooth muscle cell proliferation",0.00818524047697308,106,927,15
"GO:BP","GO:0015840","urea transport",0.00818524047697308,4,927,3
"GO:BP","GO:0045778","positive regulation of ossification",0.00818524047697308,45,927,9
"GO:BP","GO:0030500","regulation of bone mineralization",0.00818524047697308,64,927,11
"GO:BP","GO:1902219","negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress",0.00818524047697308,4,927,3
"GO:BP","GO:0045321","leukocyte activation",0.00818524047697308,687,927,58
"GO:BP","GO:0070384","Harderian gland development",0.00818524047697308,4,927,3
"GO:BP","GO:0043011","myeloid dendritic cell differentiation",0.00829030571791318,14,927,5
"GO:BP","GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",0.00840581413972485,129,927,17
"GO:BP","GO:0007599","hemostasis",0.00845920675443271,189,927,22
"GO:BP","GO:0031669","cellular response to nutrient levels",0.00859897037005485,227,927,25
"GO:BP","GO:0016049","cell growth",0.00860706432254735,401,927,38
"GO:BP","GO:0090276","regulation of peptide hormone secretion",0.00860838038587907,141,927,18
"GO:BP","GO:0003209","cardiac atrium morphogenesis",0.00889231634985933,21,927,6
"GO:BP","GO:0071375","cellular response to peptide hormone stimulus",0.00889231634985933,293,927,30
"GO:BP","GO:0060384","innervation",0.00889231634985933,21,927,6
"GO:BP","GO:0050951","sensory perception of temperature stimulus",0.00889231634985933,21,927,6
"GO:BP","GO:0003156","regulation of animal organ formation",0.00889231634985933,21,927,6
"GO:BP","GO:1903053","regulation of extracellular matrix organization",0.00889231634985933,55,927,10
"GO:BP","GO:0045833","negative regulation of lipid metabolic process",0.00898234283754312,75,927,12
"GO:BP","GO:0014823","response to activity",0.00911035028719857,65,927,11
"GO:BP","GO:0045666","positive regulation of neuron differentiation",0.00911035028719857,65,927,11
"GO:BP","GO:0071560","cellular response to transforming growth factor beta stimulus",0.00955636752123863,229,927,25
"GO:BP","GO:0048568","embryonic organ development",0.00979261087374732,349,927,34
"GO:BP","GO:0051493","regulation of cytoskeleton organization",0.00989476722866884,475,927,43
"GO:BP","GO:0015908","fatty acid transport",0.010033421143193,76,927,12
"GO:BP","GO:0045600","positive regulation of fat cell differentiation",0.0101146703961623,56,927,10
"GO:BP","GO:0001892","embryonic placenta development",0.0102870504450457,66,927,11
"GO:BP","GO:0008585","female gonad development",0.0104959878582622,87,927,13
"GO:BP","GO:0036294","cellular response to decreased oxygen levels",0.0105222887016006,132,927,17
"GO:BP","GO:0098655","monoatomic cation transmembrane transport",0.0106941935051712,637,927,54
"GO:BP","GO:0006836","neurotransmitter transport",0.0106941935051712,156,927,19
"GO:BP","GO:0007566","embryo implantation",0.0107187325315619,47,927,9
"GO:BP","GO:0060135","maternal process involved in female pregnancy",0.0107187325315619,47,927,9
"GO:BP","GO:0021604","cranial nerve structural organization",0.0109926287855118,9,927,4
"GO:BP","GO:0060736","prostate gland growth",0.0109926287855118,9,927,4
"GO:BP","GO:0097305","response to alcohol",0.0109926287855118,181,927,21
"GO:BP","GO:0035360","positive regulation of peroxisome proliferator activated receptor signaling pathway",0.0109926287855118,9,927,4
"GO:BP","GO:0051956","negative regulation of amino acid transport",0.0109926287855118,9,927,4
"GO:BP","GO:0008045","motor neuron axon guidance",0.0111596213723242,22,927,6
"GO:BP","GO:0071276","cellular response to cadmium ion",0.0111596213723242,15,927,5
"GO:BP","GO:0030540","female genitalia development",0.0111596213723242,15,927,5
"GO:BP","GO:0046697","decidualization",0.0111596213723242,22,927,6
"GO:BP","GO:0010632","regulation of epithelial cell migration",0.0113003726845692,57,927,10
"GO:BP","GO:1902532","negative regulation of intracellular signal transduction",0.0113003726845692,595,927,51
"GO:BP","GO:0043502","regulation of muscle adaptation",0.0113320118135433,67,927,11
"GO:BP","GO:0048713","regulation of oligodendrocyte differentiation",0.0115304912249868,30,927,7
"GO:BP","GO:1902533","positive regulation of intracellular signal transduction",0.0119991209695821,913,927,72
"GO:BP","GO:0043409","negative regulation of MAPK cascade",0.0120556279421445,134,927,17
"GO:BP","GO:0006814","sodium ion transport",0.0120784354663149,158,927,19
"GO:BP","GO:0086002","cardiac muscle cell action potential involved in contraction",0.0121386973945074,48,927,9
"GO:BP","GO:0046503","glycerolipid catabolic process",0.0121386973945074,48,927,9
"GO:BP","GO:0061337","cardiac conduction",0.0121386973945074,78,927,12
"GO:BP","GO:0007596","blood coagulation",0.0123133129773487,183,927,21
"GO:BP","GO:0089718","amino acid import across plasma membrane",0.0123585350945536,39,927,8
"GO:BP","GO:0034220","monoatomic ion transmembrane transport",0.0123585350945536,747,927,61
"GO:BP","GO:0032924","activin receptor signaling pathway",0.0123585350945536,39,927,8
"GO:BP","GO:0006720","isoprenoid metabolic process",0.0123782760642502,89,927,13
"GO:BP","GO:0022600","digestive system process",0.0125705158475082,68,927,11
"GO:BP","GO:0072001","renal system development",0.0125933212318367,274,927,28
"GO:BP","GO:0050865","regulation of cell activation",0.0127324565634812,454,927,41
"GO:BP","GO:0090596","sensory organ morphogenesis",0.0128711597433066,222,927,24
"GO:BP","GO:0071453","cellular response to oxygen levels",0.0128711597433066,147,927,18
"GO:BP","GO:0010720","positive regulation of cell development",0.0132885527000639,343,927,33
"GO:BP","GO:0001938","positive regulation of endothelial cell proliferation",0.0132885527000639,79,927,12
"GO:BP","GO:0002027","regulation of heart rate",0.0132885527000639,79,927,12
"GO:BP","GO:0042060","wound healing",0.0132885527000639,343,927,33
"GO:BP","GO:0090263","positive regulation of canonical Wnt signaling pathway",0.0134096066782962,101,927,14
"GO:BP","GO:0050671","positive regulation of lymphocyte proliferation",0.0134991499253513,90,927,13
"GO:BP","GO:1905332","positive regulation of morphogenesis of an epithelium",0.0136362949091022,31,927,7
"GO:BP","GO:0033688","regulation of osteoblast proliferation",0.0137119039069725,23,927,6
"GO:BP","GO:0060390","regulation of SMAD protein signal transduction",0.0141795774531502,59,927,10
"GO:BP","GO:0043583","ear development",0.0141795774531502,173,927,20
"GO:BP","GO:0046850","regulation of bone remodeling",0.0142745802517142,40,927,8
"GO:BP","GO:0050872","white fat cell differentiation",0.0144978800341661,16,927,5
"GO:BP","GO:0034104","negative regulation of tissue remodeling",0.0144978800341661,16,927,5
"GO:BP","GO:0003283","atrial septum development",0.0144978800341661,16,927,5
"GO:BP","GO:0072273","metanephric nephron morphogenesis",0.0144978800341661,16,927,5
"GO:BP","GO:0007229","integrin-mediated signaling pathway",0.0144978800341661,102,927,14
"GO:BP","GO:0007586","digestion",0.0144978800341661,80,927,12
"GO:BP","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",0.0146749463882015,91,927,13
"GO:BP","GO:0010001","glial cell differentiation",0.0147580508898789,199,927,22
"GO:BP","GO:0048545","response to steroid hormone",0.0147783250800479,251,927,26
"GO:BP","GO:0046649","lymphocyte activation",0.0149190463053484,575,927,49
"GO:BP","GO:0035725","sodium ion transmembrane transport",0.0151575900201111,114,927,15
"GO:BP","GO:0007626","locomotory behavior",0.0153124659272739,162,927,19
"GO:BP","GO:0030514","negative regulation of BMP signaling pathway",0.0155100909203844,50,927,9
"GO:BP","GO:0008544","epidermis development",0.0155178050764178,252,927,26
"GO:BP","GO:0070665","positive regulation of leukocyte proliferation",0.0156952359295938,103,927,14
"GO:BP","GO:0006576","biogenic amine metabolic process",0.015712924265806,60,927,10
"GO:BP","GO:0034103","regulation of tissue remodeling",0.015712924265806,60,927,10
"GO:BP","GO:0001547","antral ovarian follicle growth",0.0157193803541902,10,927,4
"GO:BP","GO:1990169","stress response to copper ion",0.0157193803541902,10,927,4
"GO:BP","GO:0032946","positive regulation of mononuclear cell proliferation",0.0157193803541902,92,927,13
"GO:BP","GO:0042063","gliogenesis",0.0157193803541902,266,927,27
"GO:BP","GO:0002544","chronic inflammatory response",0.0157193803541902,10,927,4
"GO:BP","GO:0001893","maternal placenta development",0.0157193803541902,32,927,7
"GO:BP","GO:0045687","positive regulation of glial cell differentiation",0.0157193803541902,32,927,7
"GO:BP","GO:0072337","modified amino acid transport",0.0157193803541902,32,927,7
"GO:BP","GO:0099509","regulation of presynaptic cytosolic calcium ion concentration",0.0157193803541902,10,927,4
"GO:BP","GO:0055010","ventricular cardiac muscle tissue morphogenesis",0.0157193803541902,32,927,7
"GO:BP","GO:0045779","negative regulation of bone resorption",0.0157193803541902,10,927,4
"GO:BP","GO:0060413","atrial septum morphogenesis",0.0157193803541902,10,927,4
"GO:BP","GO:0010273","detoxification of copper ion",0.0157193803541902,10,927,4
"GO:BP","GO:0030099","myeloid cell differentiation",0.0159319572349244,362,927,34
"GO:BP","GO:0022602","ovulation cycle process",0.0159939441458781,41,927,8
"GO:BP","GO:0098900","regulation of action potential",0.0159939441458781,41,927,8
"GO:BP","GO:0002053","positive regulation of mesenchymal cell proliferation",0.0162421965096097,24,927,6
"GO:BP","GO:0034391","regulation of smooth muscle cell apoptotic process",0.0162421965096097,24,927,6
"GO:BP","GO:0003278","apoptotic process involved in heart morphogenesis",0.0162421965096097,5,927,3
"GO:BP","GO:0003431","growth plate cartilage chondrocyte development",0.0162421965096097,5,927,3
"GO:BP","GO:0060462","lung lobe development",0.0162421965096097,5,927,3
"GO:BP","GO:0060463","lung lobe morphogenesis",0.0162421965096097,5,927,3
"GO:BP","GO:0051136","regulation of NK T cell differentiation",0.0162421965096097,5,927,3
"GO:BP","GO:0033627","cell adhesion mediated by integrin",0.0164455526945439,71,927,11
"GO:BP","GO:0014013","regulation of gliogenesis",0.0164455526945439,71,927,11
"GO:BP","GO:0007204","positive regulation of cytosolic calcium ion concentration",0.0164753542222038,104,927,14
"GO:BP","GO:0008154","actin polymerization or depolymerization",0.0167973409441377,164,927,19
"GO:BP","GO:0042472","inner ear morphogenesis",0.0168448735346205,82,927,12
"GO:BP","GO:0003279","cardiac septum development",0.0168448735346205,93,927,13
"GO:BP","GO:0022898","regulation of transmembrane transporter activity",0.0168448735346205,93,927,13
"GO:BP","GO:0051047","positive regulation of secretion",0.0168448735346205,228,927,24
"GO:BP","GO:0001541","ovarian follicle development",0.0168848719284163,51,927,9
"GO:BP","GO:0014743","regulation of muscle hypertrophy",0.0168848719284163,51,927,9
"GO:BP","GO:0001819","positive regulation of cytokine production",0.0168848719284163,350,927,33
"GO:BP","GO:0001654","eye development",0.0172086096340731,309,927,30
"GO:BP","GO:0048638","regulation of developmental growth",0.0172479212165245,255,927,26
"GO:BP","GO:0022409","positive regulation of cell-cell adhesion",0.0176551572445511,229,927,24
"GO:BP","GO:0030217","T cell differentiation",0.0176551572445511,229,927,24
"GO:BP","GO:0043010","camera-type eye development",0.0177519358520922,269,927,27
"GO:BP","GO:0060602","branch elongation of an epithelium",0.0179616856526794,17,927,5
"GO:BP","GO:0050996","positive regulation of lipid catabolic process",0.0179616856526794,17,927,5
"GO:BP","GO:0098801","regulation of renal system process",0.0179616856526794,17,927,5
"GO:BP","GO:0060706","cell differentiation involved in embryonic placenta development",0.0179616856526794,17,927,5
"GO:BP","GO:0014888","striated muscle adaptation",0.01799681533192,33,927,7
"GO:BP","GO:0086091","regulation of heart rate by cardiac conduction",0.01799681533192,33,927,7
"GO:BP","GO:0045124","regulation of bone resorption",0.01799681533192,33,927,7
"GO:BP","GO:0021955","central nervous system neuron axonogenesis",0.01799681533192,33,927,7
"GO:BP","GO:0009611","response to wounding",0.01799681533192,451,927,40
"GO:BP","GO:0007264","small GTPase-mediated signal transduction",0.0181428494827432,437,927,39
"GO:BP","GO:0043535","regulation of blood vessel endothelial cell migration",0.0181880407075718,83,927,12
"GO:BP","GO:0150063","visual system development",0.0185420724095955,311,927,30
"GO:BP","GO:0003151","outflow tract morphogenesis",0.0186616000267216,62,927,10
"GO:BP","GO:0035914","skeletal muscle cell differentiation",0.0186616000267216,62,927,10
"GO:BP","GO:0007631","feeding behavior",0.0188280829701356,52,927,9
"GO:BP","GO:0035767","endothelial cell chemotaxis",0.0193402353097601,25,927,6
"GO:BP","GO:0061384","heart trabecula morphogenesis",0.0193402353097601,25,927,6
"GO:BP","GO:0034390","smooth muscle cell apoptotic process",0.0193402353097601,25,927,6
"GO:BP","GO:0071345","cellular response to cytokine stimulus",0.0193658775733335,675,927,55
"GO:BP","GO:0032869","cellular response to insulin stimulus",0.0193688536438818,218,927,23
"GO:BP","GO:0010876","lipid localization",0.0195162408094009,354,927,33
"GO:BP","GO:0046887","positive regulation of hormone secretion",0.0195162408094009,95,927,13
"GO:BP","GO:0048738","cardiac muscle tissue development",0.0201592732012808,180,927,20
"GO:BP","GO:0001558","regulation of cell growth",0.0203291258820415,341,927,32
"GO:BP","GO:0071385","cellular response to glucocorticoid stimulus",0.0204497309336787,43,927,8
"GO:BP","GO:0048661","positive regulation of smooth muscle cell proliferation",0.0207081440979893,63,927,10
"GO:BP","GO:0043279","response to alkaloid",0.0207081440979893,63,927,10
"GO:BP","GO:0006937","regulation of muscle contraction",0.0208319877445606,119,927,15
"GO:BP","GO:0010656","negative regulation of muscle cell apoptotic process",0.0209643691700238,34,927,7
"GO:BP","GO:0001655","urogenital system development",0.0211180691713621,53,927,9
"GO:BP","GO:0003222","ventricular trabecula myocardium morphogenesis",0.0212722286044466,11,927,4
"GO:BP","GO:0106049","regulation of cellular response to osmotic stress",0.0212722286044466,11,927,4
"GO:BP","GO:0001942","hair follicle development",0.0212722286044466,74,927,11
"GO:BP","GO:0014072","response to isoquinoline alkaloid",0.0212722286044466,11,927,4
"GO:BP","GO:0060395","SMAD protein signal transduction",0.0212722286044466,74,927,11
"GO:BP","GO:0032310","prostaglandin secretion",0.0212722286044466,11,927,4
"GO:BP","GO:0043278","response to morphine",0.0212722286044466,11,927,4
"GO:BP","GO:0050966","detection of mechanical stimulus involved in sensory perception of pain",0.0212722286044466,11,927,4
"GO:BP","GO:0003215","cardiac right ventricle morphogenesis",0.0212722286044466,11,927,4
"GO:BP","GO:0043271","negative regulation of monoatomic ion transport",0.0212722286044466,74,927,11
"GO:BP","GO:0048245","eosinophil chemotaxis",0.0212722286044466,11,927,4
"GO:BP","GO:0008610","lipid biosynthetic process",0.0213511915084691,589,927,49
"GO:BP","GO:0060562","epithelial tube morphogenesis",0.0216658516889835,274,927,27
"GO:BP","GO:0050801","monoatomic ion homeostasis",0.0220673582816291,400,927,36
"GO:BP","GO:0001759","organ induction",0.0222401792416197,18,927,5
"GO:BP","GO:0060065","uterus development",0.0222401792416197,18,927,5
"GO:BP","GO:0048846","axon extension involved in axon guidance",0.0222401792416197,18,927,5
"GO:BP","GO:0007263","nitric oxide mediated signal transduction",0.0222401792416197,18,927,5
"GO:BP","GO:0051928","positive regulation of calcium ion transport",0.0226207511012457,64,927,10
"GO:BP","GO:0044283","small molecule biosynthetic process",0.0226484054278194,473,927,41
"GO:BP","GO:0021952","central nervous system projection neuron axonogenesis",0.0227823814932311,26,927,6
"GO:BP","GO:0046464","acylglycerol catabolic process",0.0227823814932311,26,927,6
"GO:BP","GO:0046461","neutral lipid catabolic process",0.0227823814932311,26,927,6
"GO:BP","GO:0050994","regulation of lipid catabolic process",0.0227899607208442,44,927,8
"GO:BP","GO:0051965","positive regulation of synapse assembly",0.0227899607208442,44,927,8
"GO:BP","GO:0051017","actin filament bundle assembly",0.0230179443513382,145,927,17
"GO:BP","GO:0042303","molting cycle",0.0230674950626003,86,927,12
"GO:BP","GO:0042633","hair cycle",0.0230674950626003,86,927,12
"GO:BP","GO:2000379","positive regulation of reactive oxygen species metabolic process",0.023135677856684,54,927,9
"GO:BP","GO:0034764","positive regulation of transmembrane transport",0.0233273889358476,133,927,16
"GO:BP","GO:0099175","regulation of postsynapse organization",0.0234136831964524,121,927,15
"GO:BP","GO:0021587","cerebellum morphogenesis",0.0237800292106212,35,927,7
"GO:BP","GO:0090278","negative regulation of peptide hormone secretion",0.0237800292106212,35,927,7
"GO:BP","GO:0001822","kidney development",0.0239979185143256,263,927,26
"GO:BP","GO:0019752","carboxylic acid metabolic process",0.0239979185143256,699,927,56
"GO:BP","GO:0009582","detection of abiotic stimulus",0.0241870011755128,98,927,13
"GO:BP","GO:0042110","T cell activation",0.0241870011755128,403,927,36
"GO:BP","GO:0009581","detection of external stimulus",0.0241870011755128,98,927,13
"GO:BP","GO:0050954","sensory perception of mechanical stimulus",0.0248653607475764,134,927,16
"GO:BP","GO:0032535","regulation of cellular component size",0.0248913202166812,305,927,29
"GO:BP","GO:0034219","carbohydrate transmembrane transport",0.0249957087968394,87,927,12
"GO:BP","GO:0007369","gastrulation",0.0250996861503288,159,927,18
"GO:BP","GO:1900024","regulation of substrate adhesion-dependent cell spreading",0.025688097341157,55,927,9
"GO:BP","GO:1990868","response to chemokine",0.025688097341157,55,927,9
"GO:BP","GO:1990869","cellular response to chemokine",0.025688097341157,55,927,9
"GO:BP","GO:0003179","heart valve morphogenesis",0.025688097341157,55,927,9
"GO:BP","GO:0043436","oxoacid metabolic process",0.025688097341157,717,927,57
"GO:BP","GO:0061572","actin filament bundle organization",0.0258021710262421,147,927,17
"GO:BP","GO:1905152","positive regulation of voltage-gated sodium channel activity",0.0259772482999176,2,927,2
"GO:BP","GO:1903701","substantia propria of cornea development",0.0259772482999176,2,927,2
"GO:BP","GO:0060615","mammary gland bud formation",0.0259772482999176,2,927,2
"GO:BP","GO:0031652","positive regulation of heat generation",0.0259772482999176,6,927,3
"GO:BP","GO:0044281","small molecule metabolic process",0.0259772482999176,1415,927,101
"GO:BP","GO:0060993","kidney morphogenesis",0.0259772482999176,77,927,11
"GO:BP","GO:1903588","negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis",0.0259772482999176,6,927,3
"GO:BP","GO:2001260","regulation of semaphorin-plexin signaling pathway",0.0259772482999176,2,927,2
"GO:BP","GO:0071392","cellular response to estradiol stimulus",0.0259772482999176,27,927,6
"GO:BP","GO:0061035","regulation of cartilage development",0.0259772482999176,66,927,10
"GO:BP","GO:0055080","monoatomic cation homeostasis",0.0259772482999176,392,927,35
"GO:BP","GO:0034478","phosphatidylglycerol catabolic process",0.0259772482999176,2,927,2
"GO:BP","GO:0034442","regulation of lipoprotein oxidation",0.0259772482999176,2,927,2
"GO:BP","GO:0009893","positive regulation of metabolic process",0.0259772482999176,2779,927,183
"GO:BP","GO:0010749","regulation of nitric oxide mediated signal transduction",0.0259772482999176,6,927,3
"GO:BP","GO:0006649","phospholipid transfer to membrane",0.0259772482999176,2,927,2
"GO:BP","GO:0010746","regulation of long-chain fatty acid import across plasma membrane",0.0259772482999176,6,927,3
"GO:BP","GO:0090183","regulation of kidney development",0.0259772482999176,27,927,6
"GO:BP","GO:0010896","regulation of triglyceride catabolic process",0.0259772482999176,6,927,3
"GO:BP","GO:0014052","regulation of gamma-aminobutyric acid secretion",0.0259772482999176,2,927,2
"GO:BP","GO:0042483","negative regulation of odontogenesis",0.0259772482999176,2,927,2
"GO:BP","GO:0042489","negative regulation of odontogenesis of dentin-containing tooth",0.0259772482999176,2,927,2
"GO:BP","GO:0003050","regulation of systemic arterial blood pressure by atrial natriuretic peptide",0.0259772482999176,2,927,2
"GO:BP","GO:0048565","digestive tract development",0.0259772482999176,99,927,13
"GO:BP","GO:0022612","gland morphogenesis",0.0259772482999176,88,927,12
"GO:BP","GO:0110111","negative regulation of animal organ morphogenesis",0.0259772482999176,2,927,2
"GO:BP","GO:0002792","negative regulation of peptide secretion",0.0259772482999176,36,927,7
"GO:BP","GO:0034439","lipoprotein lipid oxidation",0.0259772482999176,2,927,2
"GO:BP","GO:0035108","limb morphogenesis",0.0259772482999176,123,927,15
"GO:BP","GO:0019755","one-carbon compound transport",0.0259772482999176,6,927,3
"GO:BP","GO:0042160","lipoprotein modification",0.0259772482999176,2,927,2
"GO:BP","GO:0022405","hair cycle process",0.0259772482999176,77,927,11
"GO:BP","GO:0021637","trigeminal nerve structural organization",0.0259772482999176,6,927,3
"GO:BP","GO:0022404","molting cycle process",0.0259772482999176,77,927,11
"GO:BP","GO:0021571","rhombomere 5 development",0.0259772482999176,2,927,2
"GO:BP","GO:0035107","appendage morphogenesis",0.0259772482999176,123,927,15
"GO:BP","GO:0021784","postganglionic parasympathetic fiber development",0.0259772482999176,2,927,2
"GO:BP","GO:0042161","lipoprotein oxidation",0.0259772482999176,2,927,2
"GO:BP","GO:0048714","positive regulation of oligodendrocyte differentiation",0.0259772482999176,19,927,5
"GO:BP","GO:0021636","trigeminal nerve morphogenesis",0.0259772482999176,6,927,3
"GO:BP","GO:1902218","regulation of intrinsic apoptotic signaling pathway in response to osmotic stress",0.0259772482999176,6,927,3
"GO:BP","GO:1990791","dorsal root ganglion development",0.0259772482999176,6,927,3
"GO:BP","GO:0071460","cellular response to cell-matrix adhesion",0.0259772482999176,2,927,2
"GO:BP","GO:0065009","regulation of molecular function",0.0259772482999176,888,927,68
"GO:BP","GO:0071306","cellular response to vitamin E",0.0259772482999176,2,927,2
"GO:BP","GO:0060667","branch elongation involved in salivary gland morphogenesis",0.0259772482999176,2,927,2
"GO:BP","GO:0006865","amino acid transport",0.0259772482999176,123,927,15
"GO:BP","GO:0060587","regulation of lipoprotein lipid oxidation",0.0259772482999176,2,927,2
"GO:BP","GO:0032332","positive regulation of chondrocyte differentiation",0.0259772482999176,19,927,5
"GO:BP","GO:0071295","cellular response to vitamin",0.0259772482999176,27,927,6
"GO:BP","GO:0060523","prostate epithelial cord elongation",0.0259772482999176,2,927,2
"GO:BP","GO:0051971","positive regulation of transmission of nerve impulse",0.0259772482999176,2,927,2
"GO:BP","GO:0051969","regulation of transmission of nerve impulse",0.0259772482999176,6,927,3
"GO:BP","GO:0060595","fibroblast growth factor receptor signaling pathway involved in mammary gland specification",0.0259772482999176,2,927,2
"GO:BP","GO:0060915","mesenchymal cell differentiation involved in lung development",0.0259772482999176,2,927,2
"GO:BP","GO:0060174","limb bud formation",0.0259772482999176,6,927,3
"GO:BP","GO:0042326","negative regulation of phosphorylation",0.0259772482999176,148,927,17
"GO:BP","GO:0035910","ascending aorta morphogenesis",0.0259772482999176,2,927,2
"GO:BP","GO:0046394","carboxylic acid biosynthetic process",0.0259772482999176,239,927,24
"GO:BP","GO:0051338","regulation of transferase activity",0.0260429485670639,350,927,32
"GO:BP","GO:0007613","memory",0.0262512603370213,100,927,13
"GO:BP","GO:0033674","positive regulation of kinase activity",0.0262512603370213,161,927,18
"GO:BP","GO:0030041","actin filament polymerization",0.0262512603370213,136,927,16
"GO:BP","GO:0072077","renal vesicle morphogenesis",0.0263458273253946,12,927,4
"GO:BP","GO:0072537","fibroblast activation",0.0263458273253946,12,927,4
"GO:BP","GO:0061548","ganglion development",0.0263458273253946,12,927,4
"GO:BP","GO:0046851","negative regulation of bone remodeling",0.0263458273253946,12,927,4
"GO:BP","GO:0071679","commissural neuron axon guidance",0.0263458273253946,12,927,4
"GO:BP","GO:0015812","gamma-aminobutyric acid transport",0.0263458273253946,12,927,4
"GO:BP","GO:0003413","chondrocyte differentiation involved in endochondral bone morphogenesis",0.0263458273253946,12,927,4
"GO:BP","GO:0010827","regulation of D-glucose transmembrane transport",0.0264566713355223,56,927,9
"GO:BP","GO:0035904","aorta development",0.0264566713355223,56,927,9
"GO:BP","GO:0032147","activation of protein kinase activity",0.0267385523141952,46,927,8
"GO:BP","GO:0070098","chemokine-mediated signaling pathway",0.0267385523141952,46,927,8
"GO:BP","GO:0006082","organic acid metabolic process",0.0277532573117683,723,927,57
"GO:BP","GO:1904018","positive regulation of vasculature development",0.02777295522768,137,927,16
"GO:BP","GO:0051251","positive regulation of lymphocyte activation",0.0277932751838817,241,927,24
"GO:BP","GO:0070167","regulation of biomineral tissue development",0.0277932751838817,78,927,11
"GO:BP","GO:0030534","adult behavior",0.0283756905456066,113,927,14
"GO:BP","GO:2000377","regulation of reactive oxygen species metabolic process",0.0283756905456066,113,927,14
"GO:BP","GO:0060828","regulation of canonical Wnt signaling pathway",0.0283756905456066,228,927,23
"GO:BP","GO:0044087","regulation of cellular component biogenesis",0.0283861579135537,879,927,67
"GO:BP","GO:0001837","epithelial to mesenchymal transition",0.0285709615801533,150,927,17
"GO:BP","GO:0021575","hindbrain morphogenesis",0.028953177664405,37,927,7
"GO:BP","GO:0048511","rhythmic process",0.028953177664405,242,927,24
"GO:BP","GO:0140353","lipid export from cell",0.028953177664405,37,927,7
"GO:BP","GO:0016053","organic acid biosynthetic process",0.028953177664405,242,927,24
"GO:BP","GO:0033687","osteoblast proliferation",0.0290866262824142,28,927,6
"GO:BP","GO:0110110","positive regulation of animal organ morphogenesis",0.0290866262824142,28,927,6
"GO:BP","GO:0017145","stem cell division",0.0290866262824142,28,927,6
"GO:BP","GO:0098868","bone growth",0.0290866262824142,28,927,6
"GO:BP","GO:0002694","regulation of leukocyte activation",0.0291900558315569,411,927,36
"GO:BP","GO:0043627","response to estrogen",0.0299195682180662,47,927,8
"GO:BP","GO:0019226","transmission of nerve impulse",0.0299195682180662,47,927,8
"GO:BP","GO:0006869","lipid transport",0.0299195682180662,340,927,31
"GO:BP","GO:0038084","vascular endothelial growth factor signaling pathway",0.0299455917047564,79,927,11
"GO:BP","GO:0019915","lipid storage",0.0299455917047564,79,927,11
"GO:BP","GO:1903532","positive regulation of secretion by cell",0.0299455917047564,216,927,22
"GO:BP","GO:0170062","nutrient storage",0.0299455917047564,79,927,11
"GO:BP","GO:0003170","heart valve development",0.0300574836847753,68,927,10
"GO:BP","GO:0051260","protein homooligomerization",0.0304995532735813,164,927,18
"GO:BP","GO:0060561","apoptotic process involved in morphogenesis",0.0307847507680093,20,927,5
"GO:BP","GO:2000191","regulation of fatty acid transport",0.0307847507680093,20,927,5
"GO:BP","GO:0060070","canonical Wnt signaling pathway",0.0308755365538733,271,927,26
"GO:BP","GO:0015711","organic anion transport",0.0310662720390548,327,927,30
"GO:BP","GO:0072006","nephron development",0.0318074026717812,127,927,15
"GO:BP","GO:0045860","positive regulation of protein kinase activity",0.0318074026717812,152,927,17
"GO:BP","GO:0050708","regulation of protein secretion",0.0318381035033,204,927,21
"GO:BP","GO:0043588","skin development",0.0318381035033,204,927,21
"GO:BP","GO:0010557","positive regulation of macromolecule biosynthetic process",0.0321267249687135,2024,927,137
"GO:BP","GO:0055117","regulation of cardiac muscle contraction",0.0321613277843754,58,927,9
"GO:BP","GO:0002790","peptide secretion",0.0322520501470418,178,927,19
"GO:BP","GO:0045747","positive regulation of Notch signaling pathway",0.0327054858900185,38,927,7
"GO:BP","GO:0030501","positive regulation of bone mineralization",0.0327054858900185,38,927,7
