"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Geneid"
564.347021952001,3.26140553412817,0.127540589071902,25.5715106685725,3.16572075729672e-144,5.39502131458507e-140,"ENSG00000165995.25"
1010.85526680987,4.57807718597789,0.184557958790757,24.805634045662,7.7939801717705e-136,6.64125050436565e-132,"ENSG00000152583.15"
3461.43819245451,2.95723166895689,0.121785608609903,24.2822752434512,3.01738244743441e-130,1.71407438897257e-126,"ENSG00000120129.8"
12926.7629756913,3.77174724024678,0.158033968662987,23.8666868405372,6.79596083438092e-126,2.89541911348799e-122,"ENSG00000101347.13"
2370.96293463225,3.35263108156148,0.143350848118752,23.3875915319605,5.71595004611374e-121,1.94822441371741e-117,"ENSG00000189221.13"
12368.0469882087,3.73020611899793,0.16583667676768,22.4932517444471,4.83252874214234e-112,1.37259924705983e-108,"ENSG00000211445.14"
5550.30899497715,2.0342456408102,0.092694050999041,21.94580578673,9.4970011351131e-107,2.31211276206568e-103,"ENSG00000162614.21"
3057.35476824192,1.97672415868521,0.0914876455414712,21.6064600524578,1.56172685313546e-103,3.3268686288918e-100,"ENSG00000157214.16"
30582.0059453764,2.35191463537045,0.116482767402705,20.1910951105702,1.17236892529738e-90,2.21994569165755e-87,"ENSG00000154734.18"
366.44269900196,2.99728727367963,0.14951581005288,20.0466243176528,2.16014379181601e-89,3.68131705001285e-86,"ENSG00000157150.7"
1105.52024819692,1.89144532152721,0.0956173927829203,19.7813940171047,4.30620011914554e-87,6.67147840277076e-84,"ENSG00000162493.19"
816.487907337701,3.20500803716861,0.1624268044543,19.7320143552437,1.14515144522488e-86,1.62630591079354e-83,"ENSG00000179094.19"
608.001611429218,4.45802397031382,0.228618353278029,19.4998516365495,1.10101211327953e-84,1.44334218726998e-81,"ENSG00000163884.6"
510.192719129153,-3.68098245929624,0.191139704621625,-19.2580733897387,1.20789860692587e-82,1.47035771851647e-79,"ENSG00000162692.14"
1233.14316059403,2.23135638543087,0.116034362758673,19.2301343531452,2.07090968121429e-82,2.35282951915026e-79,"ENSG00000139132.17"
5578.85022021013,2.19922548805521,0.114648649552722,19.1823060858984,5.20211426049394e-82,5.54090195170861e-79,"ENSG00000134243.14"
2667.06857814533,-2.51697279473436,0.136241234571816,-18.4743833439619,3.31999031261318e-76,3.32819264162081e-73,"ENSG00000178695.6"
1069.8697717788,-1.75939054618456,0.0953076815752848,-18.4601127328315,4.32438124847815e-76,4.09422806869804e-73,"ENSG00000106976.24"
314.597357048605,-2.73140242531331,0.152012228040172,-17.9683072903286,3.45084355871868e-72,3.09522504882546e-69,"ENSG00000146250.9"
9254.84819722257,1.75670089642086,0.0981735588174038,17.8938292304164,1.31736421315584e-71,1.12252604603009e-68,"ENSG00000172403.12"
2070.58518987438,2.93192798526052,0.163905155961812,17.8879545799257,1.4638383729892e-71,1.18793969297533e-68,"ENSG00000198624.15"
1387.32901784487,-1.80717672400503,0.102395066585967,-17.6490604895285,1.03463055898629e-69,8.01462453920194e-67,"ENSG00000148848.16"
1214.01746254506,-2.17687021813993,0.126317500742233,-17.2333224244367,1.49322733018825e-66,1.10641652874209e-63,"ENSG00000163394.6"
3219.49722542815,2.22608887388113,0.129645851746054,17.1705368424862,4.4131935571631e-66,3.13373519171556e-63,"ENSG00000125148.9"
1530.16218925297,1.51792787861404,0.0886923089107183,17.1145378585425,1.15629737121086e-65,7.8822479200702e-63,"ENSG00000162616.11"
1307.13602832107,-2.398178588228,0.141766450768151,-16.9164042355131,3.40600543437792e-64,2.23250556202571e-61,"ENSG00000124766.7"
441.297187620731,3.45991115526951,0.205600170867424,16.8283476646551,1.51264776962533e-63,9.54760862590923e-61,"ENSG00000163083.7"
659.143374981667,1.89003841769742,0.112330255370827,16.8257288426701,1.58104049939191e-63,9.6228900680846e-61,"ENSG00000154930.17"
1209.10739576522,7.42625594001026,0.446980293585045,16.6142804203902,5.49299903321401e-62,3.22798929393218e-59,"ENSG00000109906.17"
28105.8228692182,-1.87442027107117,0.11293709107795,-16.5970298436095,7.32258159822701e-62,4.15971451989949e-59,"ENSG00000107562.19"
3355.08446950052,2.41414232562825,0.146227009778506,16.5095513427035,3.13203101378613e-61,1.7218087915143e-58,"ENSG00000116285.15"
937.138591080292,2.78403748880856,0.168826344227879,16.4905394447842,4.29101275748052e-61,2.28523248165572e-58,"ENSG00000099337.7"
1997.69021316456,2.31743334060075,0.140747361518526,16.4651991738809,6.5247534281405e-61,3.36954084613244e-58,"ENSG00000197381.20"
562.435061920875,2.01885900203803,0.122691140731638,16.4548066795945,7.74688209181866e-61,3.88301072378746e-58,"ENSG00000253368.6"
361.243108280916,-2.96286677298814,0.182050779668405,-16.2749469042914,1.48648377056676e-59,7.23790183371394e-57,"ENSG00000105989.12"
9565.13924798846,2.24519679244311,0.138022932984049,16.2668387339847,1.69695461857973e-59,8.03319461384328e-57,"ENSG00000163661.6"
7500.80295536823,2.18979906379213,0.136008884007566,16.1004119677235,2.53411699949465e-58,1.16720059203751e-55,"ENSG00000166741.11"
983.950019379698,2.31409867685944,0.145129780492184,15.9450298140847,3.08492889206671e-57,1.38350942575265e-54,"ENSG00000122035.9"
13609.1494541972,1.43305628695124,0.0907987055628539,15.7827832243625,4.0875919331127e-56,1.78617286472068e-53,"ENSG00000148175.15"
3730.22805832621,1.4747947740994,0.096701125619621,15.2510610879607,1.61979271401298e-52,6.90112685805231e-50,"ENSG00000136478.11"
4965.48697912193,1.2088962662902,0.0798477980000205,15.1400075715287,8.82035453178946e-52,3.66625565684771e-49,"ENSG00000102804.18"
